record_code,location_id,location_name,latitude,longitude,timestamp,traffic_density,congestion_index,avg_speed_kmh,aqi,pm25,pm10,co2_ppm,temperature_c,humidity_pct,weather,risk_score,is_anomaly,anomaly_type,anomaly_explanation
URB-10021,LOC-05,North Residential,40.79,-73.96,2026-07-20 01:03:42,25,0.1,44.8,43,24.8,48.2,400.2,14.0,77.6,Partly Cloudy,14.1,False,None,
URB-10022,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-20 01:10:42,19,0.08,52.8,47,19.8,32.6,404.8,15.0,94.2,Fog,13.9,False,None,
URB-10023,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-20 01:32:42,78,0.35,31.9,72,33.5,57.3,470.0,16.5,86.2,Rain,35.7,False,None,
URB-10024,LOC-08,University District,40.729,-73.996,2026-07-20 01:41:42,37,0.13,43.6,54,20.4,44.0,436.4,16.8,74.7,Partly Cloudy,17.9,False,None,
URB-10025,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 02:05:42,74,0.26,34.0,76,37.4,65.4,445.9,16.3,68.3,Clear,31.7,False,None,
URB-10026,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-20 02:14:42,75,0.34,31.2,86,42.4,80.9,446.2,15.6,89.4,Fog,38.0,False,None,
URB-10027,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-20 02:32:42,57,0.23,29.6,95,42.4,79.6,464.1,17.0,86.0,Fog,36.0,False,None,
URB-10028,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-20 02:40:42,44,0.2,30.5,49,21.6,42.3,416.2,15.3,93.9,Rain,26.3,False,None,
URB-10029,LOC-05,North Residential,40.79,-73.96,2026-07-20 03:04:42,26,0.12,37.6,51,26.3,47.3,437.4,17.8,72.1,Haze,19.9,False,None,
URB-10030,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-20 03:20:42,25,0.09,54.7,48,25.8,48.3,401.8,18.1,71.4,Haze,14.5,False,None,
URB-10031,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-20 03:28:42,57,0.21,53.5,80,36.0,74.5,460.9,18.5,65.0,Partly Cloudy,24.9,False,None,
URB-10032,LOC-08,University District,40.729,-73.996,2026-07-20 03:40:42,44,0.16,40.6,53,27.7,51.4,453.9,13.9,75.1,Clear,20.4,False,None,
URB-10033,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 03:56:42,73,0.26,24.1,66,35.1,69.2,458.1,16.3,93.6,Heavy Rain,34.9,False,None,
URB-10034,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-20 04:16:42,86,0.39,33.5,83,40.0,71.9,478.9,14.9,76.7,Clear,38.4,False,None,
URB-10035,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-20 04:33:42,48,0.2,37.8,80,40.3,72.1,448.1,15.2,72.9,Partly Cloudy,28.1,False,None,
URB-10036,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-20 04:49:42,49,0.19,32.8,77,32.3,54.4,427.6,16.7,94.0,Fog,29.7,False,None,
URB-10037,LOC-05,North Residential,40.79,-73.96,2026-07-20 05:05:42,28,0.12,36.8,51,21.4,40.6,427.1,16.4,87.4,Fog,20.3,False,None,
URB-10038,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-20 05:11:42,22,0.09,41.2,36,12.3,28.4,422.7,17.7,85.9,Heavy Rain,14.3,False,None,
URB-10039,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-20 05:26:42,61,0.27,39.4,60,24.3,45.7,448.5,18.0,92.2,Heavy Rain,26.6,False,None,
URB-10040,LOC-08,University District,40.729,-73.996,2026-07-20 05:48:42,37,0.16,33.6,72,32.9,56.6,440.9,19.7,84.7,Fog,27.2,False,None,
URB-10041,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 06:02:42,170,0.75,14.7,91,44.1,77.9,559.1,18.9,84.0,Rain,63.6,False,None,
URB-10042,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-20 06:18:42,160,0.59,27.4,110,49.7,87.6,547.3,16.8,68.9,Clear,54.1,False,None,
URB-10043,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-20 06:34:42,109,0.49,25.5,125,61.2,117.7,492.2,21.2,61.2,Haze,53.7,False,None,
URB-10044,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-20 06:48:42,128,0.51,23.5,115,55.0,106.6,509.6,18.4,89.1,Fog,53.8,False,None,
URB-10045,LOC-05,North Residential,40.79,-73.96,2026-07-20 07:04:42,120,0.46,26.3,95,39.3,71.4,484.1,21.2,79.6,Fog,46.9,False,None,
URB-10046,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-20 07:15:42,119,0.46,33.3,56,26.6,57.9,515.4,19.2,82.0,Rain,36.6,False,None,
URB-10047,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-20 07:35:42,352,0.98,21.4,165,71.5,133.7,729.8,18.9,61.9,Clear,82.4,False,None,
URB-10048,LOC-08,University District,40.729,-73.996,2026-07-20 07:43:42,198,0.98,4.2,99,50.2,87.0,577.5,21.7,78.6,Heavy Rain,70.7,True,Severe Gridlock,Critical speed drop to 4.2 km/h indicating major arterial blockade.
URB-10049,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 08:04:42,346,0.98,13.1,197,91.6,164.4,694.3,22.5,64.6,Haze,92.1,False,None,
URB-10050,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-20 08:11:42,389,0.98,11.8,254,118.5,209.9,739.9,22.0,80.4,Fog,93.3,False,None,
URB-10051,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-20 08:35:42,271,0.98,10.6,137,62.5,114.0,657.5,20.9,86.7,Heavy Rain,82.9,False,None,
URB-10052,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-20 08:44:42,246,0.98,9.3,111,49.7,84.9,631.7,20.7,83.6,Rain,79.0,False,None,
URB-10053,LOC-05,North Residential,40.79,-73.96,2026-07-20 08:57:42,129,0.56,19.1,61,32.9,55.5,526.3,23.0,78.3,Heavy Rain,48.5,False,None,
URB-10054,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-20 09:17:42,119,0.5,37.0,87,42.1,75.4,501.7,25.0,73.4,Fog,41.7,False,None,
URB-10055,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-20 09:32:42,324,0.98,18.2,198,86.3,153.2,679.8,24.6,75.8,Fog,89.8,False,None,
URB-10056,LOC-08,University District,40.729,-73.996,2026-07-20 09:48:42,166,0.61,21.8,115,48.8,85.8,553.4,25.9,56.4,Haze,58.6,False,None,
URB-10057,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 09:57:42,253,0.98,9.7,106,52.4,96.7,641.7,23.8,81.3,Rain,77.9,False,None,
URB-10058,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-20 10:19:42,234,0.92,10.8,122,54.9,94.9,587.7,27.2,74.0,Rain,77.8,False,None,
URB-10059,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-20 10:25:42,148,0.6,25.1,120,57.9,102.6,548.0,23.1,63.0,Partly Cloudy,57.5,False,None,
URB-10060,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-20 10:47:42,136,0.56,19.4,68,34.2,65.9,520.1,22.8,85.4,Heavy Rain,49.6,False,None,
URB-10061,LOC-05,North Residential,40.79,-73.96,2026-07-20 10:56:42,87,0.35,31.6,58,25.0,44.2,469.6,25.9,55.8,Partly Cloudy,33.3,False,None,
URB-10062,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-20 11:11:42,66,0.25,48.2,64,27.0,45.8,458.0,27.8,50.3,Haze,23.7,False,None,
URB-10063,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-20 11:27:42,182,0.79,29.6,120,53.0,96.4,571.8,28.3,51.9,Clear,62.8,False,None,
URB-10064,LOC-08,University District,40.729,-73.996,2026-07-20 11:48:42,121,0.5,22.7,65,32.0,65.5,513.3,26.8,70.1,Heavy Rain,45.0,False,None,
URB-10065,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 11:55:42,225,0.92,14.3,149,73.0,132.9,584.5,26.3,55.0,Haze,80.7,False,None,
URB-10066,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-20 12:11:42,224,0.85,13.6,106,53.2,103.0,610.9,26.3,77.5,Heavy Rain,70.8,False,None,
URB-10067,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-20 12:32:42,158,0.6,28.6,124,57.2,104.2,533.4,27.3,58.9,Clear,56.4,False,None,
URB-10068,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-20 12:45:42,159,0.66,21.6,118,56.1,97.8,526.2,27.4,78.2,Fog,61.2,False,None,
URB-10069,LOC-05,North Residential,40.79,-73.96,2026-07-20 13:04:42,102,0.38,29.8,64,34.3,66.5,483.1,26.4,58.8,Partly Cloudy,36.5,False,None,
URB-10070,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-20 13:14:42,78,0.3,43.5,70,33.5,66.5,464.1,27.6,70.0,Fog,27.5,False,None,
URB-10071,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-20 13:26:42,234,0.98,14.2,124,60.2,112.1,617.1,26.6,70.1,Rain,78.8,False,None,
URB-10072,LOC-08,University District,40.729,-73.996,2026-07-20 13:42:42,125,0.48,21.7,65,32.2,61.5,509.2,27.6,71.8,Heavy Rain,44.7,False,None,
URB-10073,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 14:01:42,190,0.75,23.1,119,51.1,101.5,561.2,30.4,52.3,Clear,64.3,False,None,
URB-10074,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-20 14:19:42,266,0.98,10.1,121,57.0,99.9,635.4,27.8,75.5,Rain,80.3,False,None,
URB-10075,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-20 14:29:42,176,0.68,15.6,118,55.4,108.0,546.5,28.9,72.0,Rain,65.0,False,None,
URB-10076,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-20 14:48:42,152,0.56,28.4,104,50.4,96.3,523.3,26.6,51.0,Clear,51.4,False,None,
URB-10077,LOC-05,North Residential,40.79,-73.96,2026-07-20 14:57:42,89,0.31,28.9,77,34.8,67.9,457.3,27.3,53.4,Haze,36.4,False,None,
URB-10078,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-20 15:12:42,76,0.29,53.7,61,28.0,55.4,463.3,28.2,50.0,Clear,24.8,False,None,
URB-10079,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-20 15:32:42,227,0.81,20.0,113,49.4,96.6,593.1,28.2,74.1,Rain,67.2,False,None,
URB-10080,LOC-08,University District,40.729,-73.996,2026-07-20 15:46:42,107,0.41,22.4,69,31.0,50.9,483.1,28.8,67.0,Heavy Rain,42.3,False,None,
URB-10081,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 15:55:42,219,0.96,13.6,146,63.6,113.2,603.1,26.4,78.4,Fog,82.2,False,None,
URB-10082,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-20 16:20:42,396,0.98,13.0,242,112.2,198.3,757.3,26.2,55.1,Haze,92.7,False,None,
URB-10083,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-20 16:31:42,227,0.98,15.2,132,64.5,125.3,593.9,27.2,51.9,Partly Cloudy,79.7,False,None,
URB-10084,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-20 16:44:42,247,0.98,11.9,164,76.5,138.7,600.3,28.5,49.5,Haze,87.0,False,None,
URB-10085,LOC-05,North Residential,40.79,-73.96,2026-07-20 17:03:42,123,0.48,20.5,62,27.7,54.4,490.6,25.6,79.1,Rain,44.8,False,None,
URB-10086,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-20 17:20:42,108,0.45,48.5,72,33.0,64.9,485.3,26.8,56.3,Partly Cloudy,33.1,False,None,
URB-10087,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-20 17:26:42,271,0.93,24.9,146,65.4,127.0,623.5,24.9,58.0,Partly Cloudy,75.3,False,None,
URB-10088,LOC-08,University District,40.729,-73.996,2026-07-20 17:48:42,191,0.82,14.9,99,43.3,83.3,573.1,27.9,74.3,Heavy Rain,67.7,False,None,
URB-10089,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 18:02:42,341,0.98,14.7,163,71.2,125.0,703.7,27.4,52.5,Partly Cloudy,85.4,False,None,
URB-10090,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-20 18:17:42,374,0.98,14.4,165,75.9,132.6,712.5,26.4,52.8,Clear,85.9,False,None,
URB-10091,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-20 18:28:42,229,0.98,11.6,195,85.2,150.3,587.0,27.0,69.5,Fog,92.5,False,None,
URB-10092,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-20 18:42:42,231,0.79,18.2,112,46.9,90.5,614.5,23.7,57.7,Clear,67.1,False,None,
URB-10093,LOC-05,North Residential,40.79,-73.96,2026-07-20 18:56:42,141,0.54,20.5,76,39.3,75.6,520.0,23.6,80.8,Heavy Rain,49.7,False,None,
URB-10094,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-20 19:20:42,93,0.37,47.2,59,23.4,46.2,486.1,23.5,63.8,Clear,27.6,False,None,
URB-10095,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-20 19:29:42,335,0.98,16.7,223,97.3,180.7,716.3,23.7,79.0,Fog,90.8,False,None,
URB-10096,LOC-08,University District,40.729,-73.996,2026-07-20 19:50:42,200,0.73,18.5,132,56.4,102.9,564.1,22.7,80.5,Fog,68.0,False,None,
URB-10097,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 20:00:42,166,0.66,22.2,102,43.2,73.7,527.8,21.7,64.9,Partly Cloudy,58.2,False,None,
URB-10098,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-20 20:18:42,193,0.75,16.5,91,39.8,71.3,586.3,21.6,86.8,Rain,62.7,False,None,
URB-10099,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-20 20:33:42,115,0.46,32.6,99,42.8,78.5,492.5,22.3,57.7,Partly Cloudy,44.4,False,None,
URB-10100,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-20 20:49:42,120,0.49,25.7,98,47.7,94.7,509.3,23.0,75.8,Fog,48.9,False,None,
URB-10101,LOC-05,North Residential,40.79,-73.96,2026-07-20 20:57:42,75,0.29,33.3,58,26.3,47.5,467.8,19.7,67.9,Partly Cloudy,30.1,False,None,
URB-10102,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-20 21:15:42,58,0.26,42.1,66,29.9,57.9,457.4,18.2,83.5,Fog,25.9,False,None,
URB-10103,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-20 21:28:42,143,0.73,11.2,119,53.5,100.3,530.8,20.4,86.1,Fog,52.2,True,Severe Gridlock,Critical speed drop to 11.2 km/h indicating major arterial blockade.
URB-10104,LOC-08,University District,40.729,-73.996,2026-07-20 21:43:42,104,0.39,30.2,76,32.5,61.9,488.5,20.1,61.1,Partly Cloudy,38.8,False,None,
URB-10105,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 22:00:42,62,0.27,36.0,69,31.1,60.6,449.2,16.9,67.8,Clear,29.9,False,None,
URB-10106,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-20 22:16:42,87,0.31,38.4,82,34.0,62.7,471.7,19.9,63.8,Clear,32.5,False,None,
URB-10107,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-20 22:26:42,60,0.26,25.0,74,31.2,62.8,460.2,16.9,91.0,Heavy Rain,35.9,False,None,
URB-10108,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-20 22:50:42,42,0.15,37.8,52,27.1,51.2,436.9,20.3,66.1,Partly Cloudy,21.2,False,None,
URB-10109,LOC-05,North Residential,40.79,-73.96,2026-07-20 23:04:42,32,0.14,30.1,39,17.9,34.3,443.3,16.9,94.4,Heavy Rain,22.4,False,None,
URB-10110,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-20 23:14:42,19,0.08,50.2,45,24.9,52.6,410.2,15.5,95.1,Fog,13.6,False,None,
URB-10111,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-20 23:33:42,67,0.27,40.2,71,31.2,58.3,471.1,17.5,91.8,Heavy Rain,28.1,False,None,
URB-10112,LOC-08,University District,40.729,-73.996,2026-07-20 23:40:42,34,0.15,28.1,41,18.8,35.4,434.2,17.8,85.0,Heavy Rain,24.1,False,None,
URB-10113,LOC-01,Downtown Central,40.7128,-74.006,2026-07-20 23:57:42,61,0.23,26.7,62,24.6,40.7,443.4,18.2,90.6,Rain,31.7,False,None,
URB-10114,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-21 00:14:42,81,0.34,26.7,64,28.3,60.5,482.8,16.0,91.8,Rain,36.5,False,None,
URB-10115,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-21 00:31:42,55,0.25,35.7,87,43.4,84.2,439.6,18.3,70.7,Partly Cloudy,32.4,False,None,
URB-10116,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-21 00:48:42,48,0.19,37.9,64,29.7,51.9,432.7,15.2,69.3,Clear,24.9,False,None,
URB-10117,LOC-05,North Residential,40.79,-73.96,2026-07-21 00:56:42,34,0.12,31.3,39,21.2,35.1,439.0,18.7,82.3,Rain,21.0,False,None,
URB-10118,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-21 01:12:42,25,0.11,63.7,43,17.7,33.5,404.1,15.9,70.3,Partly Cloudy,14.4,False,None,
URB-10119,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-21 01:32:42,68,0.26,56.5,89,45.9,84.5,455.0,17.9,66.8,Partly Cloudy,28.5,False,None,
URB-10120,LOC-08,University District,40.729,-73.996,2026-07-21 01:46:42,39,0.18,35.5,69,35.8,67.8,442.2,14.4,90.9,Fog,26.5,False,None,
URB-10121,LOC-01,Downtown Central,40.7128,-74.006,2026-07-21 02:03:42,59,0.25,35.4,78,33.3,61.7,464.3,14.2,73.1,Clear,30.9,False,None,
URB-10122,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-21 02:10:42,63,0.25,25.3,71,36.3,70.1,471.5,15.4,87.2,Heavy Rain,34.8,False,None,
URB-10123,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-21 02:27:42,49,0.22,39.6,72,29.2,51.4,424.7,17.0,69.0,Clear,26.6,False,None,
URB-10124,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-21 02:48:42,48,0.19,35.0,74,35.5,59.8,427.7,14.1,71.2,Haze,28.0,False,None,
URB-10125,LOC-05,North Residential,40.79,-73.96,2026-07-21 03:02:42,30,0.12,35.6,57,27.4,47.1,430.7,15.2,87.2,Fog,22.0,False,None,
URB-10126,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-21 03:18:42,19,0.08,44.2,34,17.7,41.6,431.6,16.5,89.2,Rain,12.0,False,None,
URB-10127,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-21 03:25:42,74,0.28,39.4,68,27.0,51.8,466.7,17.6,91.0,Rain,28.4,False,None,
URB-10128,LOC-08,University District,40.729,-73.996,2026-07-21 03:42:42,38,0.16,34.9,66,28.6,47.1,441.7,14.0,76.8,Haze,25.5,False,None,
URB-10129,LOC-01,Downtown Central,40.7128,-74.006,2026-07-21 03:55:42,74,0.3,28.1,59,26.1,53.7,463.3,15.0,95.0,Rain,33.3,False,None,
URB-10130,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-21 04:15:42,65,0.25,28.8,72,33.4,62.6,463.2,18.8,85.7,Rain,33.2,False,None,
URB-10131,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-21 04:33:42,59,0.25,24.5,70,28.3,55.9,452.2,18.4,87.9,Rain,35.0,False,None,
URB-10132,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-21 04:49:42,45,0.19,32.2,78,33.8,70.5,417.2,18.7,65.5,Haze,30.1,False,None,
URB-10133,LOC-05,North Residential,40.79,-73.96,2026-07-21 04:56:42,31,0.12,37.1,61,31.3,51.9,430.1,19.1,62.8,Haze,21.9,False,None,
URB-10134,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-21 05:20:42,22,0.1,39.5,34,12.1,18.8,400.9,17.5,87.5,Rain,15.2,False,None,
URB-10135,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-21 05:30:42,63,0.29,39.9,89,43.8,84.4,439.1,17.8,72.4,Haze,32.2,False,None,
URB-10136,LOC-08,University District,40.729,-73.996,2026-07-21 05:49:42,42,0.19,26.4,47,27.1,55.9,418.2,15.6,88.3,Rain,27.6,False,None,
URB-10137,LOC-01,Downtown Central,40.7128,-74.006,2026-07-21 06:00:42,148,0.51,24.8,140,65.4,124.6,543.9,20.8,65.9,Haze,57.5,False,None,
URB-10138,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-21 06:11:42,201,0.74,21.7,137,58.9,114.3,570.3,19.4,65.6,Partly Cloudy,67.7,False,None,
URB-10139,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-21 06:31:42,140,0.56,24.5,148,67.1,126.0,533.9,16.9,74.4,Haze,61.0,False,None,
URB-10140,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-21 06:48:42,116,0.5,23.0,102,44.9,78.2,499.5,20.8,67.1,Haze,51.4,False,None,
URB-10141,LOC-05,North Residential,40.79,-73.96,2026-07-21 06:58:42,85,0.34,23.6,52,25.7,50.5,454.7,17.5,93.3,Rain,35.9,False,None,
URB-10142,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-21 07:20:42,113,0.46,41.2,80,32.4,66.3,501.7,22.5,59.6,Partly Cloudy,36.8,False,None,
URB-10143,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-21 07:35:42,295,0.98,17.6,201,92.9,166.8,665.2,18.1,91.7,Fog,90.4,False,None,
URB-10144,LOC-08,University District,40.729,-73.996,2026-07-21 07:50:42,173,0.6,17.1,86,37.8,73.8,548.3,20.4,81.4,Heavy Rain,55.5,False,None,
URB-10145,LOC-01,Downtown Central,40.7128,-74.006,2026-07-21 08:00:42,266,0.98,10.3,112,47.4,84.7,627.2,21.8,80.0,Heavy Rain,78.7,False,None,
URB-10146,LOC-02,Midtown Financial,40.7589,-73.9851,2026-07-21 08:19:42,324,0.98,9.5,149,68.0,125.1,679.7,22.4,79.5,Heavy Rain,85.5,False,None,
URB-10147,LOC-03,Harbor Industrial,40.672,-74.009,2026-07-21 08:29:42,212,0.96,10.6,106,48.6,95.7,604.5,20.6,82.6,Heavy Rain,76.7,False,None,
URB-10148,LOC-04,Tech Corridor West,40.741,-74.004,2026-07-21 08:47:42,222,0.98,10.0,97,43.7,82.2,610.1,23.1,83.0,Rain,76.2,False,None,
URB-10149,LOC-05,North Residential,40.79,-73.96,2026-07-21 09:03:42,122,0.49,22.4,60,32.8,59.9,496.0,26.0,77.8,Rain,43.9,False,None,
URB-10150,LOC-06,Suburb South Ridge,40.63,-74.08,2026-07-21 09:15:42,126,0.54,32.3,88,38.9,72.1,508.8,23.6,75.1,Fog,45.9,False,None,
URB-10151,LOC-07,Airport Transit Hub,40.6413,-73.7781,2026-07-21 09:34:42,281,0.98,16.7,197,89.7,164.1,643.6,24.1,82.3,Fog,90.3,False,None,
URB-10152,LOC-08,University District,40.729,-73.996,2026-07-21 09:49:42,184,0.63,17.5,95,47.5,89.9,545.0,23.1,78.4,Rain,58.1,False,None,
URB-10153,LOC-01,Downtown Central,40.7128,-74.006,2026-07-21 09:59:42,333,0.98,12.2,212,97.6,183.3,703.6,24.0,55.7,Haze,93.1,False,None,
